R_f_c,c_tilde_c,R_f_a,c_tilde_a,c_lyte,J1,c_c_1,c_c_2,c_c_3,c_c_4,c_c_5,dV_1,dV_2,dV_3,dV_4,dV_5,error_1,error_2,error_3,error_4,error_5
0.338,0.898,8.461,0.882,0.926,0.44668927889629995,0.8,0.8,0.608,0.484,0.4,0.19999833177328122,-0.19999942753579217,0.19999773245766522,-0.19999960575438244,0.19999955012078846,0.00021445517955367933,1.1280433713371965e-05,0.004432065524054791,0.00013543886033314718,7.925403873745249e-05
5.539,0.879,0.481,0.905,0.831,-2.983042435635694,0.8,0.766,0.546,0.545,0.4,-0.19999877563142518,0.050000308400696546,-0.1999987122423206,0.1999966018936825,0.19999875260507943,0.0017918649074534533,2.077281730068437e-05,0.0005285171754231452,4.355202221934461e-05,3.386650160873829e-05
3.791,0.913,5.956,0.89,0.891,6.833822691274307,0.8,0.719,0.656,0.496,0.4,-0.19999966357035476,-0.07836206175091982,0.19999916592367714,-0.19999953285803757,0.19999975852722648,0.001242008459849807,2.29811384407801e-05,0.00540320075752185,0.00011930966904995665,0.0003845056638185076
2.186,0.806,2.871,0.835,0.861,2.028992383395193,0.8,0.8,0.558,0.558,0.4,0.05000022117741498,-0.1999979756534166,-0.19999987745071024,0.19999744375099737,0.19999969538044446,0.0008690603133442229,1.682654277274911e-05,0.001589701552577216,7.49252969420927e-05,0.00012838599485227262
1.543,0.827,3.627,0.936,0.839,2.2655219481334803,0.8,0.557,0.556,0.556,0.4,-0.1999996897598628,-0.05000125286255392,-0.1999999426569529,0.1999972072037931,0.19999860622515261,0.0007829620637148635,1.7046682059034847e-05,0.002074056819559116,9.83102222635662e-05,0.0001955699639093055
5.459,0.972,6.859,0.866,0.812,8.049791854122166,0.8,0.792,0.661,0.477,0.4,-0.19999951170728061,-0.05000061397661406,0.19999856324452536,-0.19999988712186867,0.19999984778895977,0.001474066373837708,2.806697499097885e-05,0.005948147599106151,0.00012645405575884187,0.0003255704904661548
2.594,0.809,5.82,0.823,0.922,5.11930113162402,0.8,0.8,0.609,0.451,0.4,0.19999776663570423,-0.19999920518305175,0.19999779624953015,-0.19999969377886437,0.19999990734880868,0.000857165920282724,1.7218856697817263e-05,0.0030142943911985174,0.00010935571655145053,0.00019036733229543912
2.962,0.962,3.503,0.958,0.912,1.2869335324310174,0.8,0.627,0.569,0.4,0.4,-0.1999989141220777,0.19999731344456137,-0.1999997675314531,-0.12901769918882183,0.1999997490913821,0.0008747461677472557,1.5682448060640023e-05,0.0020941138139547936,9.087526484300232e-05,0.0001827610710142371
9.275,0.974,5.846,0.981,0.863,9.101297204501485,0.8,0.641,0.579,0.4,0.4,-0.19999894212392258,0.19999884098820858,-0.19999997457768479,-0.11687039285390269,0.19999914480636938,0.004611434439853087,4.075760319697875e-05,0.003244502357142325,0.0001406970670882891,0.0002761261200767377
1.856,0.877,8.319,0.84,0.983,4.507087035325028,0.8,0.8,0.612,0.4,0.4,0.1999987833470465,-0.19999968734715157,0.19999784314175437,0.1999997082233816,-0.1999998355981628,0.000523869697791677,1.5506238699734807e-05,0.004960152006371233,0.00013763699788835843,0.00014457779494385375
1.067,0.937,5.35,0.874,0.883,0.6373760141352043,0.8,0.646,0.501,0.401,0.4,-0.19999895792713215,0.199998448268824,-0.1999993962144844,0.08436774048048343,0.1999997653229545,0.00027748753637692436,1.2207164863287015e-05,0.0032656511023005236,9.598808831215674e-05,0.0001388023277896837
6.427,0.908,5.119,0.922,0.899,7.894688351604569,0.8,0.634,0.558,0.401,0.4,-0.19999923895957078,0.19999809805660604,-0.19999962690745682,-0.11153355627720432,0.19999995039508678,0.0032724679348768494,2.760122418758755e-05,0.002880147371864451,0.00011305900976458555,0.0003391397139669333
2.022,0.957,8.605,0.865,0.85,4.287796455508384,0.8,0.735,0.523,0.523,0.4,-0.1999988613094759,0.19999895254536607,-0.1999997290810053,0.09452435156280435,0.19999977821104817,0.0004070112890135447,1.537982090058068e-05,0.00607064119328927,0.00014027021697235855,0.00015906065549629257
5.689,0.813,8.881,0.986,0.936,9.997055006071907,0.8,0.8,0.616,0.485,0.4,0.19999914915328346,-0.1999990572789272,0.19999960362925276,-0.19999965312179938,0.19999946621920714,0.0027829483927344495,2.5531396451002842e-05,0.0051678272703491466,0.00019875900296419295,0.00031695346995384274
3.108,0.964,3.348,0.839,0.822,2.3559895011802423,0.8,0.687,0.586,0.586,0.4,-0.19999901379625623,-0.05000141808202251,-0.19999852335846166,0.19999940974788546,0.1999999149503467,0.0007702186653269867,2.0383517725460594e-05,0.0022679994941658703,7.571570205242028e-05,0.00017993284900454884
9.191,0.928,7.537,0.828,0.817,12.035938638623515,0.8,0.696,0.696,0.491,0.4,-0.199999788174555,0.19999883651766515,-0.0753894445888383,-0.19999853971139106,0.19999984218442973,0.004328752819836517,4.044873385475696e-05,0.005824509006856047,0.00012097569940641416,0.0005005453440990315
0.482,0.936,7.987,0.96,0.993,-0.9187553463750139,0.8,0.709,0.526,0.517,0.4,-0.19999938344835824,0.1999999192384585,0.09654084135051146,-0.1999989296971676,0.19999986651016555,0.00020978301350915317,1.1347956530150742e-05,0.004003969099010734,0.00014033936321762214,5.853369185686079e-05
5.007,0.894,5.008,0.83,0.964,7.856217642780203,0.8,0.749,0.653,0.477,0.4,-0.19999956447602205,-0.08670122823787982,0.19999968743804422,-0.1999995825677238,0.1999995779225735,0.0019135159837840514,2.83519993858201e-05,0.004061232550499943,9.228007178625171e-05,0.00045725504794431914
5.219,0.94,2.699,0.935,0.982,3.5073769033692024,0.8,0.8,0.595,0.403,0.4,-0.19999963635844342,-0.09949718679745181,0.19999934232462954,-0.1999995873100208,0.19999992846741177,0.0027837549092380974,2.079884643114948e-05,0.0014166662930702309,8.166362712004011e-05,0.00023601526806687172
3.554,0.868,9.331,0.983,0.967,7.9683047647449365,0.8,0.8,0.579,0.578,0.4,0.1999997411665957,-0.19999970605225303,-0.19999905786082892,0.19999326394704306,0.19999989440457122,0.0012444164415542584,1.8871452106617835e-05,0.006465688634105435,0.00020660324070453416,0.00025875612943873465
2.752,0.928,6.239,0.956,0.896,4.742819966333907,0.8,0.644,0.486,0.4,0.4,-0.1999982311231564,0.19999995771978551,-0.19999938291749855,0.07869988241040397,0.1999998796746681,0.000735080821409158,1.7289877936114805e-05,0.004709011349522907,0.00012934758731632254,0.00025967718256585185
2.57,0.937,6.636,0.955,0.965,3.884935287145953,0.8,0.65,0.499,0.401,0.4,-0.19999981130188632,0.199998686227303,-0.19999923607011671,0.07074166752758518,0.19999975519619112,0.00055696646094704,1.6058336058408926e-05,0.00428818635302117,0.00012961870288000481,0.0001754136107168716
0.46,0.874,2.423,0.926,0.998,-3.5591077183408633,0.8,0.61,0.503,0.4,0.4,-0.19999970253648547,0.19999902251959958,-0.19999932459078582,0.07403177776797976,0.1999988141832576,0.000288723073067925,1.1189229718856776e-05,0.0011627558717320831,5.69795502838659e-05,9.588248737006446e-05
6.204,0.902,2.982,0.931,0.855,4.161348337766453,0.8,0.8,0.608,0.451,0.4,-0.1999975484195732,0.05000035145380662,0.19999775292029942,-0.19999839340771797,0.19999818465818409,0.002541199086254348,2.415161128408044e-05,0.0014165935275527125,8.429454808730836e-05,0.0001528874961715016
2.026,0.841,1.526,0.951,0.845,-1.4271355338465155,0.8,0.582,0.476,0.426,0.4,-0.19999914700413854,0.19999910202172855,-0.1999993246684803,-0.05009174463432859,0.19999995769269716,0.0010781107429787308,1.738850519540774e-05,0.0007647074186758174,5.779439248016054e-05,0.0001345401443760314
6.563,0.991,9.709,0.82,0.848,10.477542856090526,0.8,0.754,0.631,0.497,0.4,-0.1999996943902166,0.1999992945748992,0.08202072718100717,-0.19999936594987056,0.19999899864907106,0.001585458742795572,3.2031126708036836e-05,0.009896631161502436,0.0001421730939236435,0.0003586962106588456
6.476,0.901,5.283,0.979,0.94,7.586551059329757,0.8,0.63,0.561,0.402,0.4,-0.19999913694964425,0.1999981590338295,-0.19999974996377373,-0.11766337867135931,0.19999977973706423,0.0033060324079954625,2.6685700526277705e-05,0.002740871133913905,0.00012803311516523553,0.000287070082467792
4.997,0.851,2.581,0.819,0.913,4.2923172233772595,0.8,0.8,0.611,0.441,0.4,-0.19999871527055293,0.0500009484779631,0.19999679845204985,-0.1999987093919158,0.1999997131250679,0.0019727343109895686,2.3392161775279068e-05,0.0013686636323255001,6.49737205829978e-05,0.00019373572155017538
1.531,0.832,9.855,0.981,0.837,5.1111038997425045,0.8,0.8,0.611,0.462,0.4,0.1999988433933495,-0.19999888770232432,0.19999593174278163,-0.19999931385163788,0.19999913249349727,0.0005250040816146311,1.4493419827114349e-05,0.005617103690627015,0.00020392456284894025,0.00014371462932022267
