R_f_c,c_tilde_c,R_f_a,c_tilde_a,c_lyte,J1,c_c_1,c_c_2,c_c_3,c_c_4,c_c_5,dV_1,dV_2,dV_3,dV_4,dV_5,error_1,error_2,error_3,error_4,error_5
9.6,0.94,9.999,0.844,0.872,23.86741520025041,0.8,0.737,0.737,0.63,0.436,-0.19999541269747073,-0.1729542203889443,0.19999961860881008,0.15753051199966278,-0.1999969450048824,0.7506691478684906,0.009758275914948761,0.0028787371678478417,5.440698084169506e-05,6.036880031804205e-05
8.701,0.916,2.788,0.837,0.882,16.413370633090242,0.8,0.703,0.703,0.599,0.478,-0.19999845316494672,-0.1593088495578233,0.19999979257542522,0.13074306598983937,-0.19999981082149185,0.5091502922794705,0.005051861616085478,0.000674909281755696,2.14885850794505e-05,2.9665581701282515e-05
3.079,0.904,7.683,0.958,0.974,14.324361890395693,0.8,0.712,0.601,0.4,0.4,-0.1999989528198412,-0.19206342963155262,0.1621367000368344,0.1999996727616373,-0.19999899618817266,0.13763654261567052,0.00366009514062978,0.001457690583376751,3.326498306792071e-05,2.5361453311488742e-05
4.257,0.963,7.354,0.974,0.877,12.65529525586094,0.8,0.8,0.685,0.551,0.4,-0.1999989890302134,0.1999998555400269,-0.16200177511084962,0.1999338512086283,-0.1999996744344913,0.11541140990907041,0.004002870044555558,0.0007519895586693069,1.4508154560582398e-05,2.861657166805351e-05
7.29,0.912,1.25,0.88,0.956,10.074384247513859,0.8,0.678,0.677,0.404,0.404,-0.1999999416354164,-0.19999848622139216,-0.07306058189085893,-0.19999614255665046,0.19999952225057857,0.4435708334969523,0.004471199542803791,0.00020638074970476502,6.152046732217224e-06,1.5975662077977117e-05
8.638,0.857,0.733,0.953,0.891,4.882578017369665,0.8,0.673,0.565,0.467,0.4,-0.1999998934562376,-0.13862697328590473,0.12834687481101034,-0.1999997846852208,0.1999998978477035,0.2218691724000502,0.0015250949709336872,0.00011480508532540102,4.872434648883655e-06,9.298171285330044e-06
6.441,0.876,6.63,0.833,0.993,21.107524492709125,0.8,0.734,0.574,0.543,0.4,-0.19999849997164043,-0.18567874499083123,-0.19999932626124584,0.19999961697105545,-0.19999958554514846,0.9627908387626026,0.007441341605298258,0.002182358095514298,4.206431956520762e-05,3.618681356716356e-05
2.861,0.992,7.703,0.997,0.842,9.794054244177866,0.8,0.8,0.688,0.448,0.447,0.19999988013811298,-0.1999918481051722,-0.1604330540440449,-0.19999990229490508,0.19999729031361901,0.0479615938935224,0.002905729188953304,0.000775731530428836,1.3347265948531822e-05,3.2113254226700397e-05
8.589,0.875,5.551,0.991,0.947,15.145562551377585,0.8,0.8,0.7,0.543,0.401,0.19999958067304388,-0.1999966368239885,-0.1789501195549756,0.19967496112263589,-0.1999994838339983,0.6511776173620953,0.004936902166947601,0.00045545984919197544,9.196968308651046e-06,1.985172766446252e-05
2.485,0.89,4.109,0.852,0.974,11.657859372039528,0.8,0.714,0.591,0.454,0.4,-0.19999947146397837,-0.184983398506001,0.1501505438519523,-0.19999988583888811,0.19999948929706562,0.10079076198439586,0.0024002095241124365,0.0009218305544435093,2.1051699435480754e-05,2.7984602484737222e-05
0.386,0.956,0.927,0.927,0.803,-8.52044190836809,0.8,0.687,0.568,0.4,0.4,-0.1999967900161471,-0.17287017445572228,0.12847483747119415,0.19999993796760487,-0.1999999585845461,0.001077385540840179,0.00025228321298658384,0.0001555244213726451,6.7670084000087835e-06,1.477522629752497e-05
4.581,0.862,2.315,0.855,0.963,12.57097675815529,0.8,0.716,0.716,0.585,0.473,-0.19999934551078935,-0.17613783342955863,0.19999969401522907,0.13594567743153518,-0.1999996869873773,0.2947702765421768,0.002075153123069637,0.0005629392704331569,1.7779406343243945e-05,2.1488884862922198e-05
